attack_id,features
0,"inside_box_shot,central_attack,goal"
1,"central_attack,fast_break"
2,"inside_box_shot,central_attack,goal"
3,"inside_box_shot,central_attack,fast_break,goal"
4,"inside_box_shot,central_attack,goal"
5,"central_attack,fast_break"
6,"central_attack,fast_break"
7,"central_attack,fast_break"
8,"central_attack,fast_break"
9,"central_attack,fast_break"
10,"central_attack,fast_break"
11,"inside_box_shot,central_attack,goal"
12,"central_attack,fast_break"
13,"inside_box_shot,central_attack,goal"
14,"central_attack,fast_break"
15,"central_attack,fast_break"
16,"inside_box_shot,central_attack,fast_break,goal"
17,"central_attack,goal"
18,"central_attack,fast_break"
19,"central_attack,fast_break"
20,"central_attack,fast_break,goal"
21,"central_attack,fast_break"
22,"central_attack,through_ball"
23,"central_attack,through_ball,fast_break"
24,"central_attack,through_ball"
25,"central_attack,through_ball"
26,"central_attack,through_ball"
27,"central_attack,through_ball,fast_break"
28,"central_attack,through_ball"
29,"through_ball,central_attack"
30,"central_attack,through_ball"
31,"central_attack,through_ball"
32,"central_attack,fast_break"
33,"central_attack,through_ball,goal"
34,"central_attack,through_ball,goal"
35,"central_attack,through_ball"
36,"central_attack,through_ball,goal"
37,"central_attack,through_ball"
38,"central_attack,through_ball,fast_break"
39,"through_ball,fast_break"
40,"central_attack,through_ball"
41,"inside_box_shot,central_attack,through_ball,goal"
42,"central_attack,through_ball,goal"
43,"central_attack,through_ball"
44,"central_attack,through_ball"
45,"central_attack,through_ball"
46,"central_attack,through_ball"
47,"central_attack,through_ball"
48,"central_attack,through_ball"
49,"central_attack,fast_break"
50,"central_attack,through_ball,fast_break"
51,"inside_box_shot,central_attack,through_ball,goal"
52,"central_attack,through_ball"
53,"central_attack,through_ball"
54,"central_attack,fast_break"
55,"central_attack,through_ball,fast_break"
56,"central_attack,through_ball"
57,"inside_box_shot,central_attack,through_ball,goal"
58,"central_attack,through_ball,fast_break"
59,"inside_box_shot,central_attack,through_ball,goal"
60,"central_attack,through_ball"
61,"central_attack,through_ball"
62,"through_ball,central_attack"
63,"central_attack,through_ball,fast_break"
64,"central_attack,through_ball"
65,"central_attack,through_ball"
66,"through_ball,central_attack"
67,"through_ball,central_attack,fast_break"
68,"central_attack,through_ball"
69,"inside_box_shot,central_attack,through_ball,goal"
70,"central_attack,fast_break"
71,"central_attack,through_ball,fast_break"
72,"central_attack,through_ball,inside_box_shot,fast_break,goal"
73,"central_attack,through_ball,fast_break"
74,"central_attack,through_ball"
75,"central_attack,fast_break"
76,"central_attack,through_ball"
77,"central_attack,through_ball"
78,"central_attack,through_ball"
79,"central_attack,through_ball"
80,"central_attack,through_ball,fast_break"
81,"inside_box_shot,central_attack,fast_break,goal"
82,"through_ball,fast_break"
83,"through_ball,central_attack"
84,"central_attack,through_ball"
85,"central_attack,through_ball"
86,"central_attack,through_ball"
87,"central_attack,through_ball"
88,"through_ball,central_attack"
89,"inside_box_shot,central_attack,through_ball,goal"
90,"through_ball,fast_break"
91,"central_attack,through_ball"
92,"central_attack,through_ball"
93,"central_attack,through_ball"
94,"inside_box_shot,central_attack,through_ball,goal"
95,"central_attack,through_ball"
96,"central_attack,through_ball,fast_break"
97,"central_attack,through_ball"
98,"central_attack,fast_break"
99,"central_attack,through_ball"
100,"central_attack,through_ball,fast_break"
101,"central_attack,through_ball,fast_break"
102,"fast_break,goal"
103,"central_attack,fast_break"
104,"central_attack,through_ball"
105,"through_ball,central_attack,goal"
106,"central_attack,fast_break"
107,"through_ball,fast_break"
108,"central_attack,through_ball,inside_box_shot,fast_break,goal"
109,"central_attack,through_ball"
110,"through_ball,central_attack"
111,"central_attack,through_ball,inside_box_shot,fast_break,goal"
112,"central_attack,through_ball"
113,"central_attack,through_ball,inside_box_shot,fast_break,goal"
114,"central_attack,through_ball"
115,"central_attack,through_ball"
116,"central_attack,through_ball"
117,"central_attack,fast_break"
118,"central_attack,through_ball"
119,"central_attack,through_ball"
120,"inside_box_shot,central_attack,through_ball,goal"
121,"central_attack,through_ball"
122,"central_attack,through_ball"
123,"through_ball,central_attack,goal"
124,"central_attack,through_ball"
125,"central_attack,through_ball,fast_break"
126,"central_attack,through_ball,fast_break"
127,"through_ball,central_attack"
128,"central_attack,through_ball"
129,"inside_box_shot,central_attack,fast_break,goal"
130,"central_attack,through_ball"
131,"inside_box_shot,central_attack,through_ball,goal"
132,"central_attack,fast_break"
133,"central_attack,through_ball"
134,"inside_box_shot,central_attack,fast_break,goal"
135,"central_attack,through_ball"
136,"central_attack,through_ball,goal"
137,"central_attack,through_ball,goal"
138,"central_attack,through_ball"
139,"central_attack,fast_break,goal"
140,"through_ball,central_attack"
141,"central_attack,through_ball,goal"
142,"central_attack,through_ball,goal"
143,"central_attack,through_ball,inside_box_shot,fast_break,goal"
144,"central_attack,through_ball"
145,"central_attack,through_ball"
146,"central_attack,through_ball,inside_box_shot,fast_break,goal"
147,"inside_box_shot,central_attack,through_ball,goal"
148,"central_attack,through_ball,fast_break"
149,"inside_box_shot,central_attack,through_ball,goal"
150,"central_attack,through_ball"
151,"through_ball,fast_break"
152,"central_attack,through_ball"
153,"through_ball,central_attack"
154,"central_attack,through_ball"
155,"central_attack,through_ball,goal"
156,"inside_box_shot,central_attack,through_ball,goal"
157,"central_attack,through_ball,goal"
158,"central_attack,fast_break"
159,"through_ball,central_attack"
160,"central_attack,through_ball"
161,"central_attack,through_ball"
162,"central_attack,through_ball"
163,"central_attack,through_ball"
164,"central_attack,through_ball"
165,"inside_box_shot,central_attack,through_ball,goal"
166,"central_attack,through_ball,inside_box_shot,fast_break,goal"
167,"central_attack,fast_break"
168,"central_attack,through_ball,fast_break"
169,"central_attack,through_ball"
170,"central_attack,through_ball"
171,"central_attack,through_ball"
172,"central_attack,through_ball"
173,"central_attack,through_ball,goal"
174,"central_attack,through_ball,fast_break"
175,"central_attack,through_ball"
176,"central_attack,through_ball"
177,"through_ball,central_attack"
178,"central_attack,through_ball,inside_box_shot,fast_break,goal"
179,"central_attack,through_ball"
180,"inside_box_shot,central_attack,through_ball,goal"
181,"central_attack,through_ball,goal"
182,"central_attack,through_ball"
183,"central_attack,through_ball"
184,"central_attack,through_ball"
185,"central_attack,through_ball,inside_box_shot,fast_break,goal"
186,"central_attack,through_ball"
187,"central_attack,through_ball"
188,"central_attack,through_ball"
189,"central_attack,through_ball"
190,"central_attack,through_ball"
191,"central_attack,through_ball"
192,"inside_box_shot,central_attack,through_ball,goal"
193,"central_attack,through_ball"
194,"central_attack,through_ball"
195,"central_attack,through_ball"
196,"central_attack,through_ball,goal"
197,"central_attack,through_ball"
198,"central_attack,through_ball"
199,"inside_box_shot,through_ball,central_attack,goal"
200,"inside_box_shot,central_attack,through_ball,goal"
201,"central_attack,through_ball"
202,"central_attack,fast_break,goal"
203,"central_attack,through_ball,goal"
204,"central_attack,through_ball,fast_break"
205,"through_ball,central_attack,goal"
206,"central_attack,through_ball,fast_break"
207,"through_ball,central_attack"
208,"central_attack,through_ball"
209,"through_ball,central_attack"
210,"central_attack,through_ball"
211,"central_attack,through_ball"
212,"central_attack,through_ball"
213,"central_attack,through_ball,fast_break"
214,"central_attack,through_ball"
215,"central_attack,fast_break"
216,"central_attack,through_ball"
217,"central_attack,through_ball,goal"
218,"central_attack,through_ball,goal"
219,"central_attack,through_ball"
220,"central_attack,through_ball,goal"
221,"central_attack,through_ball"
222,"through_ball,central_attack"
223,"central_attack,through_ball"
224,"inside_box_shot,central_attack,through_ball,goal"
225,"central_attack,through_ball"
226,"central_attack,through_ball"
227,"central_attack,fast_break,goal"
228,"central_attack,goal"
229,"central_attack,goal"
