support,itemsets,length
0.8786860768943636,central_attack,1
0.22583053378126167,goal,1
0.13064576334453154,inside_box_shot,1
0.22471071295259426,fast_break,1
0.799552071668533,through_ball,1
0.22209779768570362,"central_attack, goal",2
0.08361328854050018,"goal, through_ball",2
0.08212019410227697,"central_attack, goal, through_ball",3
0.13064576334453154,"goal, inside_box_shot",2
0.1280328480776409,"central_attack, inside_box_shot",2
0.05039193729003359,"inside_box_shot, through_ball",2
0.1280328480776409,"central_attack, goal, inside_box_shot",3
0.05039193729003359,"goal, inside_box_shot, through_ball",3
0.04927211646136618,"central_attack, inside_box_shot, through_ball",3
0.04927211646136618,"central_attack, goal, inside_box_shot, through_ball",4
0.10563643150429265,"central_attack, fast_break",2
0.16461366181410975,"fast_break, through_ball",2
0.04628592758491975,"central_attack, fast_break, through_ball",3
0.6804777902202315,"central_attack, through_ball",2
