attack_id,features
0,"inside_box_shot,central_attack,goal"
1,"inside_box_shot,central_attack,goal"
2,"inside_box_shot,central_attack,goal"
3,"inside_box_shot,central_attack,goal"
4,"central_attack,goal"
5,"central_attack,fast_break"
6,"central_attack,fast_break"
7,"central_attack,goal"
8,"central_attack,fast_break"
9,"inside_box_shot,central_attack,goal"
10,"inside_box_shot,central_attack,goal"
11,"central_attack,goal"
12,"inside_box_shot,central_attack,goal"
13,"inside_box_shot,central_attack,goal"
14,"central_attack,through_ball"
15,"through_ball,fast_break"
16,"central_attack,through_ball,fast_break"
17,"central_attack,through_ball"
18,"through_ball,fast_break"
19,"central_attack,through_ball"
20,"central_attack,through_ball"
21,"central_attack,through_ball"
22,"central_attack,through_ball"
23,"central_attack,through_ball"
24,"central_attack,through_ball"
25,"through_ball,central_attack"
26,"central_attack,through_ball"
27,"central_attack,through_ball"
28,"central_attack,through_ball"
29,"central_attack,through_ball"
30,"through_ball,fast_break"
31,"central_attack,through_ball"
32,"central_attack,through_ball"
33,"through_ball,fast_break"
34,"central_attack,through_ball"
35,"central_attack,through_ball,goal"
36,"inside_box_shot,central_attack,through_ball,goal"
37,"through_ball,fast_break"
38,"central_attack,through_ball"
39,"central_attack,through_ball"
40,"central_attack,through_ball"
41,"inside_box_shot,central_attack,through_ball,goal"
42,"central_attack,through_ball,fast_break"
43,"central_attack,through_ball"
44,"central_attack,through_ball"
45,"central_attack,through_ball"
46,"through_ball,fast_break"
47,"central_attack,through_ball"
48,"central_attack,through_ball,fast_break"
49,"central_attack,through_ball"
50,"inside_box_shot,central_attack,through_ball,goal"
51,"central_attack,through_ball,fast_break"
52,"through_ball,fast_break"
53,"central_attack,through_ball,goal"
54,"central_attack,through_ball"
55,"central_attack,through_ball"
56,"through_ball,fast_break"
57,"through_ball,fast_break"
58,"central_attack,through_ball"
59,"central_attack,through_ball"
60,"central_attack,through_ball"
61,"central_attack,through_ball"
62,"central_attack,through_ball"
63,"central_attack,through_ball"
64,"central_attack,fast_break"
65,"central_attack,through_ball"
66,"through_ball,fast_break"
67,"through_ball,fast_break"
68,"central_attack,through_ball"
